season,team,espn_team_id,date,opponent,result,team_score,opp_score,is_win
2026,Purdue,2509,"Fri, Nov 7",Oakland,W 87-77,87,77,True
2026,Purdue,2509,"Thu, Nov 13",Alabama,W 87-80,87,80,True
2026,Purdue,2509,"Sun, Nov 16",Akron,W 97-79,97,79,True
2026,Purdue,2509,"Thu, Nov 20",Memphis,W 80-71,80,71,True
2026,Purdue,2509,"Fri, Nov 21",Texas Tech,W 86-56,86,56,True
2026,Purdue,2509,"Fri, Nov 28",E Illinois,W 109-62,109,62,True
2026,Purdue,2509,"Tue, Dec 2",Rutgers,W 81-65,81,65,True
2026,Purdue,2509,"Sat, Dec 6",Iowa St,L 81-58,81,58,False
2026,Purdue,2509,"Wed, Dec 10",Minnesota,W 85-57,85,57,True
2026,Purdue,2509,"Sat, Dec 13",Marquette,W 79-59,79,59,True
2026,Purdue,2509,"Sat, Dec 20",Auburn,W 88-60,88,60,True
2026,Purdue,2509,"Mon, Dec 29",Kent,W 101-60,101,60,True
2026,Purdue,2509,"Sat, Jan 3",Wisconsin,W 89-73,89,73,True
2026,Purdue,2509,"Wed, Jan 7",Washington,W 81-73,81,73,True
2026,Purdue,2509,"Sat, Jan 10",Penn St,W 93-85,93,85,True
2026,Purdue,2509,"Wed, Jan 14",Iowa,W 79-72,79,72,True
2026,Purdue,2509,"Sat, Jan 17",USC,W 69-64,69,64,True
2026,Purdue,2509,"Tue, Jan 20",UCLA,L 69-67,69,67,False
2026,Purdue,2509,"Sat, Jan 24",Illinois,L 88-82,88,82,False
2026,Purdue,2509,"Tue, Jan 27",Indiana,L 72-67,72,67,False
2026,Purdue,2509,"Sun, Feb 1",Maryland,W 93-63,93,63,True
2026,Purdue,2509,"Sat, Feb 7",Oregon,W 68-64,68,64,True
2026,Purdue,2509,"Sat, Feb 14",Iowa,W 78-57,78,57,True
2026,Purdue,2509,"Tue, Feb 17",Michigan,L 91-80,91,80,False
2026,Purdue,2509,"Fri, Feb 20",Indiana,W 93-64,93,64,True
2026,Purdue,2509,"Thu, Feb 26",Michigan St,L 76-74,76,74,False
2026,Purdue,2509,"Sun, Mar 1",Ohio St,L 82-74,82,74,False
2026,Purdue,2509,"Wed, Mar 4",Northwestern,W 70-66,70,66,True
2026,Purdue,2509,"Sat, Mar 7",Wisconsin,L 97-93,97,93,False
2026,Purdue,2509,"Thu, Mar 12",Northwestern,W 81-68,81,68,True
2026,Purdue,2509,"Fri, Mar 13",Nebraska,W 74-58,74,58,True
2026,Purdue,2509,"Sat, Mar 14",UCLA,W 73-66,73,66,True
2026,Purdue,2509,"Sun, Mar 15",Michigan,W 80-72,80,72,True
2026,Connecticut,41,"Mon, Nov 3",New Haven,W 79-55,79,55,True
2026,Connecticut,41,"Fri, Nov 7",MA Lowell,W 110-47,110,47,True
2026,Connecticut,41,"Mon, Nov 10",Columbia,W 89-62,89,62,True
2026,Connecticut,41,"Sat, Nov 15",BYU,W 86-84,86,84,True
2026,Connecticut,41,"Wed, Nov 19",Arizona,L 71-67,71,67,False
2026,Connecticut,41,"Sun, Nov 23",Bryant,W 72-49,72,49,True
2026,Connecticut,41,"Fri, Nov 28",Illinois,W 74-61,74,61,True
2026,Connecticut,41,"Tue, Dec 2",Kansas,W 61-56,61,56,True
2026,Connecticut,41,"Fri, Dec 5",East Texas A&M,W 83-59,83,59,True
2026,Connecticut,41,"Tue, Dec 9",Florida,W 77-73,77,73,True
2026,Connecticut,41,"Fri, Dec 12",Texas,W 71-63,71,63,True
2026,Connecticut,41,"Tue, Dec 16",Butler,W 79-60,79,60,True
2026,Connecticut,41,"Sun, Dec 21",DePaul,W 72-54,72,54,True
2026,Connecticut,41,"Wed, Dec 31",Xavier,W 90-67,90,67,True
2026,Connecticut,41,"Sun, Jan 4",Marquette,W 73-57,73,57,True
2026,Connecticut,41,"Sat, Jan 10",DePaul,W 72-60,72,60,True
2026,Connecticut,41,"Tue, Jan 13",Seton Hall,W 69-64,69,64,True
2026,Connecticut,41,"Sat, Jan 17",Georgetown,W 64-62,64,62,True
2026,Connecticut,41,"Tue, Jan 27",Providence,W 87-81,87,81,True
2026,Connecticut,41,"Sat, Jan 31",Creighton,W 85-58,85,58,True
2026,Connecticut,41,"Tue, Feb 3",Xavier,W 92-60,92,60,True
2026,Connecticut,41,"Fri, Feb 6",St John's,L 81-72,81,72,False
2026,Connecticut,41,"Wed, Feb 11",Butler,W 80-70,80,70,True
2026,Connecticut,41,"Sat, Feb 14",Georgetown,W 79-75,79,75,True
2026,Connecticut,41,"Wed, Feb 18",Creighton,L 91-84,91,84,False
2026,Connecticut,41,"Sat, Feb 21",Villanova,W 73-63,73,63,True
2026,Connecticut,41,"Wed, Feb 25",St John's,W 72-40,72,40,True
2026,Connecticut,41,"Sat, Feb 28",Seton Hall,W 71-67,71,67,True
2026,Connecticut,41,"Sat, Mar 7",Marquette,L 68-62,68,62,False
2026,Connecticut,41,"Thu, Mar 12",Xavier,W 93-68,93,68,True
2026,Connecticut,41,"Fri, Mar 13",Georgetown,W 67-51,67,51,True
2026,Connecticut,41,"Sat, Mar 14",St John's,L 72-52,72,52,False
2026,Gonzaga,2250,"Mon, Nov 3",TX Southern,W 98-43,98,43,True
2026,Gonzaga,2250,"Sat, Nov 8",Oklahoma,W 83-68,83,68,True
2026,Gonzaga,2250,"Tue, Nov 11",Creighton,W 90-63,90,63,True
